optimizer,weight_decay,learning_rate,worker_id,value
RMSprop,0.0011701402839929948,4.4862392098367036e-07,0,0.1428571428571428
Adam,0.011361324165294734,1.3718002182432438e-07,0,0.1428571428571428
Adam,0.003532147524786264,3.6108312630806785e-07,1,0.1428571428571428
SGD,3.3742688183492536e-05,2.2492400565203247e-06,1,0.1428571428571428
